ticket_id,col_index,facility_ja,availability,availability_meaning,facility_zh,facility_cov
jreast205,3,北海道新幹線 / グリーン車,▲,乗車券のみ有効,北海道新干线 / 绿色车厢,0.95
jreast205,4,北海道新幹線 / 普通車指定,△,条件付き利用可,北海道新干线 / 普通车厢指定席席,0.95
jreast205,5,東北･秋田･山形 上越･長野新幹線 / グランクラス,▲,乗車券のみ有効,東北・秋田・山形 上越・長野新幹線 / 超高级车厢(Gran Class),0.95
jreast205,6,東北･秋田･山形 上越･長野新幹線 / グリーン車,▲,乗車券のみ有効,東北・秋田・山形 上越・長野新幹線 / 绿色车厢,0.95
jreast205,7,東北･秋田･山形 上越･長野新幹線 / 普通車指定,△,条件付き利用可,東北・秋田・山形 上越・長野新幹線 / 普通车厢指定席席,0.95
jreast205,8,東北･秋田･山形 上越･長野新幹線 / 普通車自由,○,乗車可,東北・秋田・山形 上越・長野新幹線 / 普通车厢自由席席,0.95
jreast205,9,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / A卧铺车,0.95
jreast205,10,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / B卧铺车,0.95
jreast205,11,在来線特急/急行 / グリーン車,▲,乗車券のみ有効,既有线特快 / 急行 / 绿色车厢,0.95
jreast205,12,在来線特急/急行 / 普通車指定,△,条件付き利用可,既有线特快 / 急行 / 普通车厢指定席席,0.95
jreast205,13,在来線特急/急行 / 普通車自由,○,乗車可,既有线特快 / 急行 / 普通车厢自由席席,0.95
jreast205,14,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jreast205,15,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jreast205,16,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jreast205,17,快速・普通 / 指定,△,条件付き利用可,快速・普通 / 指定席,0.95
jreast205,18,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jreast205,19,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
jreast201,1,東海道新幹線,×,乗車不可,东海道新干线,0.9
jreast201,2,北海道新幹線,×,乗車不可,北海道新干线,0.9
jreast201,3,東北･秋田･山形 上越･北陸新幹線 / グランクラス,▲,乗車券のみ有効,東北・秋田・山形 上越・北陆新干线 / 超高级车厢(Gran Class),0.95
jreast201,4,東北･秋田･山形 上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効,東北・秋田・山形 上越・北陆新干线 / 绿色车厢,0.95
jreast201,5,東北･秋田･山形 上越･北陸新幹線 / 普通車指定,△,条件付き利用可,東北・秋田・山形 上越・北陆新干线 / 普通车厢指定席席,0.95
jreast201,6,東北･秋田･山形 上越･北陸新幹線 / 普通車自由,○,乗車可,東北・秋田・山形 上越・北陆新干线 / 普通车厢自由席席,0.95
jreast201,7,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / A卧铺车,0.95
jreast201,8,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / B卧铺车,0.95
jreast201,9,在来線特急/急行 / グリーン車,▲,乗車券のみ有効,既有线特快 / 急行 / 绿色车厢,0.95
jreast201,10,在来線特急/急行 / 普通車指定,△,条件付き利用可,既有线特快 / 急行 / 普通车厢指定席席,0.95
jreast201,11,在来線特急/急行 / 普通車自由,○,乗車可,既有线特快 / 急行 / 普通车厢自由席席,0.95
jreast201,12,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jreast201,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jreast201,14,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jreast201,15,快速・普通 / 指定,△,条件付き利用可,快速・普通 / 指定席,0.95
jreast201,16,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jreast201,17,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
jreast221,0,東海道新幹線,×,乗車不可,东海道新干线,0.9
jreast221,1,東北･秋田･山形 上越･北陸新幹線 / グラン,▲,乗車券のみ有効,東北・秋田・山形 上越・北陆新干线 / 超高级车厢(Gran Class),0.95
jreast221,2,東北･秋田･山形 上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効,東北・秋田・山形 上越・北陆新干线 / 绿色车厢,0.95
jreast221,3,東北･秋田･山形 上越･北陸新幹線 / 普通車指定,△,条件付き利用可,東北・秋田・山形 上越・北陆新干线 / 普通车厢指定席席,0.95
jreast221,4,東北･秋田･山形 上越･北陸新幹線 / 普通車自由,○,乗車可,東北・秋田・山形 上越・北陆新干线 / 普通车厢自由席席,0.95
jreast221,5,東北･秋田･山形 上越･北陸新幹線 / Ａ寝台車,▲,乗車券のみ有効,東北・秋田・山形 上越・北陆新干线 / A卧铺车,0.95
jreast221,6,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / B卧铺车,0.95
jreast221,7,在来線特急/急行 / グリーン車,▲,乗車券のみ有効,既有线特快 / 急行 / 绿色车厢,0.95
jreast221,8,在来線特急/急行 / 普通車指定,△,条件付き利用可,既有线特快 / 急行 / 普通车厢指定席席,0.95
jreast221,9,在来線特急/急行 / 普通車自由,○,乗車可,既有线特快 / 急行 / 普通车厢自由席席,0.95
jreast221,10,在来線特急/急行 / グリーン車指定,▲,乗車券のみ有効,既有线特快 / 急行 / 绿色车厢指定席席,0.95
jreast221,11,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jreast221,12,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jreast221,13,快速・普通 / 指定,△,条件付き利用可,快速・普通 / 指定席,0.95
jreast221,14,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jreast221,15,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
jreast24,0,東海道新幹線,×,乗車不可,东海道新干线,0.9
jreast24,1,東北･秋田･山形･上越･北陸新幹線 / グランクラス,▲,乗車券のみ有効,東北・秋田・山形・上越・北陆新干线 / 超高级车厢(Gran Class),0.95
jreast24,2,東北･秋田･山形･上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効,東北・秋田・山形・上越・北陆新干线 / 绿色车厢,0.95
jreast24,3,東北･秋田･山形･上越･北陸新幹線 / 指定,△,条件付き利用可,東北・秋田・山形・上越・北陆新干线 / 指定席,0.95
jreast24,4,東北･秋田･山形･上越･北陸新幹線 / 自由,○,乗車可,東北・秋田・山形・上越・北陆新干线 / 自由席,0.95
jreast24,5,北海道新幹線,×,乗車不可,北海道新干线,0.9
jreast24,6,在来線特急・急行 / 寝台車,▲,乗車券のみ有効,在来線特急・急行 / 卧铺车,0.95
jreast24,7,在来線特急・急行 / グリーン車,▲,乗車券のみ有効,在来線特急・急行 / 绿色车厢,0.95
jreast24,8,在来線特急・急行 / 普通車指定,△,条件付き利用可,在来線特急・急行 / 普通车厢指定席席,0.95
jreast24,9,在来線特急・急行 / 普通車自由,○,乗車可,在来線特急・急行 / 普通车厢自由席席,0.95
jreast24,10,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jreast24,11,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jreast24,12,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jreast24,13,快速・普通 / 指定,△,条件付き利用可,快速・普通 / 指定席,0.95
jreast24,14,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jreast24,15,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
jreast38,0,東海道新幹線 / のぞみ,×,乗車不可,东海道新干线 / 希望号,0.95
jreast38,1,東北・上越新幹線,×,乗車不可,東北・上越新干线,0.9
jreast38,2,在来線特急・急行,×,乗車不可,既有线特快/急行,0.9
jreast38,3,快速・普通 / ひかり/こだま,△,条件付き利用可,快速・普通 / 光速号/回声号,0.95
jreast38,4,快速・普通 / グリーン,▲,乗車券のみ有効,快速・普通 / 绿色车厢,0.95
jreast38,5,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jreast38,6,快速・普通 / 指定,▲,乗車券のみ有効,快速・普通 / 指定席,0.95
jreast38,7,青い森鉄道,○,乗車可,青森铁道,0.9
jreast38,9,自由,○,乗車可,自由席,0.9
jrwest136,0,東海道新幹線,×,乗車不可,东海道新干线,0.9
jrwest136,1,山陽新幹線 / グリーン車,▲,乗車券のみ有効,山阳新干线 / 绿色车厢,0.95
jrwest136,2,山陽新幹線 / 普通車指定,○,乗車可,山阳新干线 / 普通车厢指定席席,0.95
jrwest136,3,山陽新幹線 / 普通車自由,○,乗車可,山阳新干线 / 普通车厢自由席席,0.95
jrwest136,4,北陸新幹線 / グランクラス,×,乗車不可,北陆新干线 / 超高级车厢(Gran Class),0.95
jrwest136,5,北陸新幹線 / グリーン車,▲,乗車券のみ有効,北陆新干线 / 绿色车厢,0.95
jrwest136,6,北陸新幹線 / 普通車指定,○,乗車可,北陆新干线 / 普通车厢指定席席,0.95
jrwest136,7,北陸新幹線 / 普通車自由,○,乗車可,北陆新干线 / 普通车厢自由席席,0.95
jrwest136,8,在来線特急・急行 / 寝台車,×,乗車不可,在来線特急・急行 / 卧铺车,0.95
jrwest136,9,在来線特急・急行 / グリーン車,▲,乗車券のみ有効,在来線特急・急行 / 绿色车厢,0.95
jrwest136,10,在来線特急・急行 / 普通車指定,○,乗車可,在来線特急・急行 / 普通车厢指定席席,0.95
jrwest136,11,在来線特急・急行 / 普通車自由,○,乗車可,在来線特急・急行 / 普通车厢自由席席,0.95
jrwest136,12,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jrwest136,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jrwest136,14,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jrwest136,15,快速・普通 / 指定,○,乗車可,快速・普通 / 指定席,0.95
jrwest136,16,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrwest137,0,東海道新幹線,×,乗車不可,东海道新干线,0.9
jrwest137,1,山陽新幹線 / グリーン車,▲,乗車券のみ有効,山阳新干线 / 绿色车厢,0.95
jrwest137,2,山陽新幹線 / 普通車指定,○,乗車可,山阳新干线 / 普通车厢指定席席,0.95
jrwest137,3,山陽新幹線 / 普通車自由,○,乗車可,山阳新干线 / 普通车厢自由席席,0.95
jrwest137,4,北陸新幹線 / グランクラス,×,乗車不可,北陆新干线 / 超高级车厢(Gran Class),0.95
jrwest137,5,北陸新幹線 / グリーン車,▲,乗車券のみ有効,北陆新干线 / 绿色车厢,0.95
jrwest137,6,北陸新幹線 / 普通車指定,○,乗車可,北陆新干线 / 普通车厢指定席席,0.95
jrwest137,7,北陸新幹線 / 普通車自由,○,乗車可,北陆新干线 / 普通车厢自由席席,0.95
jrwest137,8,在来線特急・急行 / 寝台車,×,乗車不可,在来線特急・急行 / 卧铺车,0.95
jrwest137,9,在来線特急・急行 / グリーン車,▲,乗車券のみ有効,在来線特急・急行 / 绿色车厢,0.95
jrwest137,10,在来線特急・急行 / 普通車指定,○,乗車可,在来線特急・急行 / 普通车厢指定席席,0.95
jrwest137,11,在来線特急・急行 / 普通車自由,○,乗車可,在来線特急・急行 / 普通车厢自由席席,0.95
jrwest137,12,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jrwest137,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jrwest137,14,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jrwest137,15,快速・普通 / 指定,○,乗車可,快速・普通 / 指定席,0.95
jrwest137,16,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrwest138,0,東海道新幹線,×,乗車不可,东海道新干线,0.9
jrwest138,1,山陽新幹線 / グリーン車,△*2,条件付き利用可,山阳新干线 / 绿色车厢,0.95
jrwest138,2,山陽新幹線 / 普通車指定,△*2,条件付き利用可,山阳新干线 / 普通车厢指定席席,0.95
jrwest138,3,山陽新幹線 / 普通車自由,○*2,乗車可,山阳新干线 / 普通车厢自由席席,0.95
jrwest138,4,北陸新幹線 / グランクラス,×,乗車不可,北陆新干线 / 超高级车厢(Gran Class),0.95
jrwest138,5,北陸新幹線 / グリーン車,×,乗車不可,北陆新干线 / 绿色车厢,0.95
jrwest138,6,北陸新幹線 / 普通車指定,×,乗車不可,北陆新干线 / 普通车厢指定席席,0.95
jrwest138,7,北陸新幹線 / 普通車自由,×,乗車不可,北陆新干线 / 普通车厢自由席席,0.95
jrwest138,8,在来線特急・急行 / 寝台車,×,乗車不可,在来線特急・急行 / 卧铺车,0.95
jrwest138,9,在来線特急・急行 / グリーン車,×,乗車不可,在来線特急・急行 / 绿色车厢,0.95
jrwest138,10,在来線特急・急行 / 普通車指定,×,乗車不可,在来線特急・急行 / 普通车厢指定席席,0.95
jrwest138,11,在来線特急・急行 / 普通車自由,×,乗車不可,在来線特急・急行 / 普通车厢自由席席,0.95
jrwest138,12,快速・普通 / グリーン車指定,×,乗車不可,快速・普通 / 绿色车厢指定席席,0.95
jrwest138,13,快速・普通 / グリーン車自由,×,乗車不可,快速・普通 / 绿色车厢自由席席,0.95
jrwest138,14,快速・普通 / ライナー,×,乗車不可,快速・普通 / 快车(Liner),0.95
jrwest138,15,快速・普通 / 指定,×,乗車不可,快速・普通 / 指定席,0.95
jrwest138,16,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrhokkaido01,0,北海道新幹線,×,乗車不可,北海道新干线,0.9
jrhokkaido01,1,在来線特急・急行列車 / グリーン車,▲,乗車券のみ有効,在来線特急・急行列車 / 绿色车厢,0.95
jrhokkaido01,2,在来線特急・急行列車 / 普通車個室,▲,乗車券のみ有効,在来線特急・急行列車 / 普通车厢包厢,0.95
jrhokkaido01,3,在来線特急・急行列車 / 普通車指定,△,条件付き利用可,在来線特急・急行列車 / 普通车厢指定席席,0.95
jrhokkaido01,4,在来線特急・急行列車 / 普通車自由,○,乗車可,在来線特急・急行列車 / 普通车厢自由席席,0.95
jrhokkaido01,5,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jrhokkaido01,6,快速・普通 / 指定,△,条件付き利用可,快速・普通 / 指定席,0.95
jrhokkaido01,7,快速・普通 / SL,▲,乗車券のみ有効,快速・普通 / SL,0.95
jrhokkaido01,8,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrhokkaido01,9,ジェイ・アール北海道バス,○,乗車可,JR北海道巴士,0.9
jrhokkaido11,0,北海道新幹線,×,乗車不可,北海道新干线,0.9
jrhokkaido11,1,特急・急行 / グリーン車,×,乗車不可,特急・急行 / 绿色车厢,0.95
jrhokkaido11,2,特急・急行 / 指定,×,乗車不可,特急・急行 / 指定席,0.95
jrhokkaido11,3,特急・急行 / 自由,×,乗車不可,特急・急行 / 自由席,0.95
jrhokkaido11,4,特急・急行 / 立席,×,乗車不可,特急・急行 / 站位,0.95
jrhokkaido11,5,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jrhokkaido11,6,快速・普通 / ＳＬ,▲,乗車券のみ有効,快速・普通 / SL,0.95
jrhokkaido11,7,快速・普通 / 指定,▲,乗車券のみ有効,快速・普通 / 指定席,0.95
jrhokkaido11,8,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrhokkaido13,0,北海道新幹線,×,乗車不可,北海道新干线,0.9
jrhokkaido13,1,特急・急行 / グリーン車,×,乗車不可,特急・急行 / 绿色车厢,0.95
jrhokkaido13,2,特急・急行 / 指定,×,乗車不可,特急・急行 / 指定席,0.95
jrhokkaido13,3,特急・急行 / 自由,×,乗車不可,特急・急行 / 自由席,0.95
jrhokkaido13,4,特急・急行 / 立席,×,乗車不可,特急・急行 / 站位,0.95
jrhokkaido13,5,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jrhokkaido13,6,快速・普通 / ＳＬ,▲,乗車券のみ有効,快速・普通 / SL,0.95
jrhokkaido13,7,快速・普通 / 指定,▲,乗車券のみ有効,快速・普通 / 指定席,0.95
jrhokkaido13,8,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrhokkaido22,0,在来線特急列車 / グリーン車,▲,乗車券のみ有効,在来線特急列車 / 绿色车厢,0.95
jrhokkaido22,1,在来線特急列車 / 普通車個室,▲,乗車券のみ有効,在来線特急列車 / 普通车厢包厢,0.95
jrhokkaido22,2,在来線特急列車 / 普通車指定,▲,乗車券のみ有効,在来線特急列車 / 普通车厢指定席席,0.95
jrhokkaido22,3,在来線特急列車 / 普通車自由,▲,乗車券のみ有効,在来線特急列車 / 普通车厢自由席席,0.95
jrhokkaido22,4,本州寝台特急,－,対象外,本州卧铺特快,0.9
jrhokkaido22,5,急行 / 普通車指定,－,対象外,急行 / 普通车厢指定席席,0.95
jrhokkaido22,6,急行 / 普通車自由,－,対象外,急行 / 普通车厢自由席席,0.95
jrhokkaido22,7,急行 / Ｂ寝台,－,対象外,急行 / B卧铺,0.95
jrhokkaido22,8,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jrhokkaido22,9,快速・普通 / 指定,▲,乗車券のみ有効,快速・普通 / 指定席,0.95
jrhokkaido22,10,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrhokkaido54,1,東海道新幹線,×,乗車不可,东海道新干线,0.9
jrhokkaido54,2,北海道新幹線,×,乗車不可,北海道新干线,0.9
jrhokkaido54,3,東北･秋田･山形 上越･北陸新幹線,×,乗車不可,東北・秋田・山形 上越・北陆新干线,0.9
jrhokkaido54,4,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / A卧铺车,0.95
jrhokkaido54,5,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / B卧铺车,0.95
jrhokkaido54,6,在来線特急/急行 / グリーン車,▲,乗車券のみ有効,既有线特快 / 急行 / 绿色车厢,0.95
jrhokkaido54,7,在来線特急/急行 / 普通車指定,△,条件付き利用可,既有线特快 / 急行 / 普通车厢指定席席,0.95
jrhokkaido54,8,在来線特急/急行 / 普通車自由,○,乗車可,既有线特快 / 急行 / 普通车厢自由席席,0.95
jrhokkaido54,9,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jrhokkaido54,10,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jrhokkaido54,11,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jrhokkaido54,12,快速・普通 / 指定,△,条件付き利用可,快速・普通 / 指定席,0.95
jrhokkaido54,13,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jrhokkaido54,14,ＢＲＴ,－,対象外,BRT（公交快速运输）,0.9
jrhokkaido55,1,東海道新幹線,×,乗車不可,东海道新干线,0.9
jrhokkaido55,2,北海道新幹線,×,乗車不可,北海道新干线,0.9
jrhokkaido55,3,東北･秋田･山形 上越･長野新幹線,×,乗車不可,東北・秋田・山形 上越・長野新干线,0.9
jrhokkaido55,4,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / A卧铺车,0.95
jrhokkaido55,5,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / B卧铺车,0.95
jrhokkaido55,6,在来線特急/急行 / グリーン車,▲,乗車券のみ有効,既有线特快 / 急行 / 绿色车厢,0.95
jrhokkaido55,7,在来線特急/急行 / 普通車指定,△,条件付き利用可,既有线特快 / 急行 / 普通车厢指定席席,0.95
jrhokkaido55,8,在来線特急/急行 / 普通車自由,○,乗車可,既有线特快 / 急行 / 普通车厢自由席席,0.95
jrhokkaido55,9,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jrhokkaido55,10,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
