ticket_id,seq,restriction_ja
sendai03,1,土休日のみ利用可
abukyu102,1,中学生、高校生限定(購入時学生証必要)
abukyu97,1,65歳以上限定(証明書必要)
fukusima03,1,大人1名と小学生1名まで利用可
fukusima02,1,飯坂電車は、大人1名と小学生1名まで利用可。
aizu96,1,福島県内に在住の夫婦が利用可能
aizu96,2,単独利用不可
aizu96,3,"お座トロ展望列車,特急列車利用時は別途座席指定券,特急券が必要"
aizu91,1,「お座トロ展望列車」は別途「トロッコ整理券」必要
aizu91,2,子供単独での使用は不可
tokyo01,1,「のぞみ」は乗車不可。
jreast071,1,わたらせ渓谷鐵道トロッコ列車は利用不可
jreast10,1,東海道新幹線には乗車できません。
jreast12,1,Suica限定(ただし、定期券、モバイルSuicaは対象外）。
jreast12,2,新幹線には乗車できない。
jreast37,1,モバイルSuicaのみ
jreast45,1,特急･急行列車は特急・急行券が必要です。
jreast45,2,グリーン車はグリーン券、ライナーはライナー券が必要です。
jreast46,1,特急･急行列車は特急・急行券が必要。
jreast46,2,グリーン車はグリーン券、ライナーはライナー券が必要。
jreast13,1,東海道新幹線には乗車できません。
kantetu02,1,「ＳＬもおか号」を利用の際は別途整理券が必要です。
mooka92,1,SLもおか号利用時は別途整理券必要
toyo95,1,発売当日に限り有効
tyoshi01,1,12月31日午後9時30分〜1月1日午前10時は、発売停止
tyoshi93,1,12月31日午後9時30分〜1月1日午前10時は、発売停止
isumi01,1,急行列車は急行券が別途必要です。
isumi02,1,急行列車指定席は指定席券が別途必要です。
isumi06,1,急行列車は急行券が別途必要です。
kominato03,1,房総里山トロッコ列車の指定席片道1回分込
titibu03,1,ＳＬパレオエクスプレスは乗車整理券が必要。
titibu03,2,急行列車に乗車する際は急行券が必要。
titibu98,1,ＳＬパレオエクスプレスは乗車整理券が必要。
titibu98,2,急行列車に乗車可。
saitama_titibu,1,ＳＬに乗車する場合、別途乗車整理券、急行電車は急行券が別途が必要。
keisei81,1,北総線内の駅（京成高砂〜印旛日本医大間）の乗降不可
keisei83,1,成田空港線(成田スカイアクセス線)の乗降不可
seibu106,1,"高速乗合バス,空港連絡バス,深夜急行バス(池袋駅東口〜小手指駅),コミュニティバス,イオンシャトルバス(イオンモール東久留米),メッツァ線,西武球場線,イベント臨時輸送バス,西武観光バス(秩父地区･軽井沢地区)は乗車できない。"
seibu106,2,深夜バスは、深夜割増運賃を別途支払い
seibu106,3,他社との共同運行路線は、西武バスのみ乗車可
tokyo02,1,座席定員制のバスは乗車できません。
toei03,1,座席定員制のバスは乗車できません。
toei23,1,都電、都バスは乗車できません。
toei92,1,座席定員制のバスは乗車できません。
tokyu95,1,"以下の路線は対象外(空港連絡バス,高速乗り合いバス,通勤高速バス,深夜急行バス,ハチ公バス(上原・富ヶ谷ルート、本町・笹塚循環ルート、神宮前・千駄ヶ谷ルート),溝の口〜新横浜間直行バス)"
tokyu95,2,深夜バスは、普通運賃との差額を支払うことで乗車可能
tokyu05,1,別途、「PASMO」が必要。 (モバイルPASMO、ApplePayのPASMO、PASMO定期券、クレジット一体型PASMO、PASMO以外のICカードを除く)
sotetsutokyu01,1,別途、「PASMO」が必要。 (モバイルPASMO、ApplePayのPASMO、PASMO定期券、クレジット一体型PASMO、PASMO以外のICカードを除く)
tokyu81,1,別途、「PASMO」が必要。 (モバイルPASMO、ApplePayのPASMO、PASMO定期券、クレジット一体型PASMO、PASMO以外のICカードを除く)
tokyu82,1,別途、「PASMO」が必要。 (モバイルPASMO、ApplePayのPASMO、PASMO定期券、クレジット一体型PASMO、PASMO以外のICカードを除く)
keikyu01,1,横浜市営地下鉄線の吉野町〜上大岡間は乗車できるが、途中下車不可。
keikyu03,1,都バスは、深夜バス，座席定員制バス，その他交通局規程で定める運行系統を除く。
keikyu08,1,指定店舗での食事券
keikyu08,2,施設利用orおみやげ券 がセットになっている。
keikyu11,1,"PASMO(記名・無記名)が必要 (モバイルPASMO,ApplePayのPASMO,PASMO定期券,クレジット一体型PASMO,PASMO以外のICカードを除く)"
keikyu12,1,"PASMO(記名・無記名)が必要 (モバイルPASMO,ApplePayのPASMO,PASMO定期券,クレジット一体型PASMO,PASMO以外のICカードを除く)"
keikyu13,1,"PASMO(記名・無記名)が必要 (モバイルPASMO,ApplePayのPASMO,PASMO定期券,クレジット一体型PASMO,PASMO以外のICカードを除く)"
yurikamome03,1,PASMO専用
tama02,1,「ららぽーと立川立飛」は不定期発売
enoden03,1,新江ノ島水族館のチケットがセット
enoden82,1,予定数に達し次第終了
hakone15,1,下記は片道のみ(途中下車可) 
hakone15,2,箱根登山バス(宮ノ下→箱根町港) 
hakone15,3,箱根海賊船(箱根町港→桃源台) 
hakone15,4,箱根ロープウェイ(桃源台→早雲山) 
hakone15,5,箱根登山ケーブル(早雲山→強羅)
jrtokai06,1,"特急・急行券を購入すれば特急・急行列車(新幹線,寝台列車を除く)が利用できる。"
jrtokai06,2,「ホームライナー」は、乗車整理券が必要。
jrtokai07,1,"特急・急行券を購入すれば特急・急行列車(新幹線,寝台列車を除く)が利用できる。"
jrtokai07,2,「ホームライナー」は、乗車整理券が必要。
jrtokai87,1,特急・急行券を購入すれば特急・急行列車が利用できます。
jrtokai87,2,「ホームライナー」は、乗車整理券が必要。
jrtokai83,1,"静岡県外の駅から熱海,三島,新富士駅までのスマートEXの商品利用者のみ購入可能"
jrtokai84,1,"静岡県外の駅から新富士,静岡,掛川駅までのスマートEXの商品利用者のみ購入可能"
jrtokai85,1,"静岡県外の駅から掛川,浜松までのスマートEXの商品利用者のみ購入可能"
jrtokai01,1,伊勢鉄道に乗車可、城北線、愛知環状線乗車不可。
jrtokai01,2,特急・急行券を購入すれば特急・急行列車（新幹線を除く）の普通車自由席が利用可。
jrtokai01,3,「ホームライナー」は、乗車整理券が必要。
jrtokai03,1,特急・急行券を購入すれば特急・急行列車(新幹線を除く)が利用できます。
jrtokai03,2,「ホームライナー」は、乗車整理券が必要。
jrtokai08,1,特急・急行券を購入すれば特急・急行列車が利用できます。
jrtokai08,2,「ホームライナー」は、乗車整理券が必要。
jrtokai09,1,ＪＲ線特急列車の指定席利用回数は４回まで
jrtokai09,2,「ホームライナー」は、乗車整理券が必要。
jrtokai89,1,新幹線予約サービス｢EXサービス｣で、熱海〜米原間のいずれかの駅を着駅とする東海道新幹線の予約利用者を対象に発売
jrtokai89,2,特急・急行列車乗車不可。
jrtokai89,3,「ホームライナー」は、乗車整理券が必要。
jrtokai88,1,新幹線予約サービス｢EXサービス｣で、熱海〜米原間のいずれかの駅を着駅とする東海道新幹線の予約利用者を対象に発売
jrtokai88,2,特急・急行列車乗車不可。
jrtokai88,3,「ホームライナー」は、乗車整理券が必要。
izukyu51,1,特急列車は、普通車空席のみ乗車可
izukyu52,1,特急列車に乗車不可
izukyu52,2,"伊豆高原駅前 P2,P3,P5 に駐車のこと。"
izukyu53,1,特急列車に乗車不可
izukyu54,1,特急列車は、別途特急券等の購入が必要
fujikyu91,1,「富士山ビュー特急」、「フジサン特急」自由席利用可
fujikyu11,1,フジサン特急には別途特急券が必要
fujikyu12,1,フジサン特急には別途特急券が必要
oigawa96,1,座席未指定にてSL急行に乗車可能。
entetu01,1,遠鉄バスはe-wing、e-LineRは乗車不可。別途運賃必要。
nagoya92,1,12月31日の22:00までに使用開始した場合：1月1日の6:00まで使用可能
nagoya92,2,12月31日の22:00以降に使用開始した場合：1月1日の終車まで使用可能
meitetu01,1,特別車はミューチケットが必要。
meitetu11,1,特別車はミューチケットが必要。
meitetu94,1,特別車はミューチケットが必要。
meitetu100,1,愛知県の公立学校(幼稚園･小学校･特別支援学校)の児童限定 
meitetu100,2, 特別車の利用は、特別車両券(ミューチケット)が必要。
333,1,QRコード対応改札機設置駅のみ乗降可
333,2,近鉄線は係員またはインターホンでの取扱いあり。
333,3,特急利用時は別途特急券が必要。
meitetu95,1,特別車の利用は、特別車両券(ミューチケット)が必要。
kintetu03,1,特急利用時は別途特急券が必要。
kintetu03,2,乗車開始日当日の発売はできません。
kintetu71,1,特急利用時は別途特急券が必要。
kintetu71,2,乗車開始日当日の発売はできません。
kintetu63,1,特急利用時は別途特急券が必要。
kintetu73,1,フリー区間外から乗車時は松阪駅までの乗車券が必要
kintetu73,2,特急利用時は、別途特急券が必要
guideway92,1,EXサービス会員限定
guideway92,2,引き換えは、ゆとりーとライン大曽根駅
sangi12,1,ICOCAまたはモバイル端末のICOCAが必要
ise91,1,特急乗車不可
ise92,1,特急乗車不可
ise94,1,特急乗車不可
ise93,1,特急乗車不可
jrwest41,1,普通列車(新快速・快速を含む)の普通車自由席に乗車可。
jrwest41,2,特急・急行列車は、別途特急券、急行券等が必要。
jrwest41,3,新幹線には乗車できない。
jrwest46,1,普通列車(新快速・快速を含む)の普通車自由席に乗車可。
jrwest46,2,特急・急行列車は、別途特急券、急行券等が必要。
jrwest46,3,新幹線には乗車できない。
jrwest40,1,普通列車(新快速・快速を含む)の普通車自由席に乗車可。
jrwest40,2,特急・急行列車は、別途特急券、急行券等が必要。
jrwest40,3,新幹線には乗車できない。
jrwest42,1,普通列車(新快速・快速を含む)の普通車自由席に乗車可。
jrwest42,2,特急・急行列車は、別途特急券、急行券等が必要。
jrwest42,3,新幹線には乗車できない。
jrwest39,1,普通列車(新快速・快速を含む)の普通車自由席に乗車可。
jrwest39,2,特急・急行列車は、別途特急券、急行券等が必要。
jrwest39,3,新幹線には乗車できない。
jrwest44,1,WESTERポイントでのみ購入可能
jrwest44,2,指定席は6回まで利用可能
jrwest44,3,指定席が満席の場合は立席が利用可能
jrwest45,1,WESTERポイントでのみ購入可能
jrwest45,2,指定席は6回まで利用可能
jrwest45,3,指定席が満席の場合は立席が利用可能
hokuhoku01,1,特急利用不可
echigo03,1,特急「しらゆき」の普通車自由席に乗車可。
echigo03,2,「えちごトキめきリゾート雪月花」は乗車不可
echigo93,1,当日有効の「青春18きっぷ」を所持する場合に発売。
echigo93,2,特急「しらゆき」乗車は乗車不可。
echigo93,3,えちごトキめきリゾート雪月花は乗車不可
echigo02,1,"妙高市,上越市,糸魚川市在住の方ならびにトキてつサポーターズクラブ会員限定"
echigo02,2,特急「しらゆき」乗車は別途特急券必要。
echigo02,3,"「越乃Shu*Kura」,「えちごトキめきリゾート雪月花」は乗車不可"
echigo02,4,シルバー用は満70歳以上の方が対象
echigo02,5,免許返納用は運転経歴証明書をお持ちの方が対象
echigo02,6,購入時に、運転免許証、保険証や学生証等で住所、年齢等の確認。利用時は各証明書等の携帯が必要。
echigo91,1,「特急列車」乗車不可
echigo91,2,「えちごトキめきリゾート雪月花号」乗車不可
nagaden01,1,特急(自由席)乗車可
nagaden06,1,特急(自由席)乗車可
nagaden05,1,特急(自由席)乗車可
nagaden07,1,中高生に限る。乗車時に学生証の提示が必要 
nagaden07,2, 特急料金(自由席)を含む
matuden94,1,イベント公式LINEアカウント に友達登録後、送られてくるアンケートに回答後、クーポンが発行され、そのクーポンの提示を係員に提示して購入。
titetu01,1,座席指定を利用の際は座席指定料金が必要
titetu05,1,座席指定を利用の際は座席指定料金が必要
titetu94,1,500円クーポン×2枚付き
titetu99,1,特急乗車の場合、特急券必要。 
titetu99,2, 購入時に、富山県内在住とわかるもの(免許証や保険証など)の提示が必要。
titetu92,1,区間外からの乗り越し精算等不可
titetu92,2,実施日に購入する時に黒部市在住あるいは黒部市へ通勤・通学していることを証明できるものを提示必要。
titetu90,1,"高速バス(城端線含む),ぶりかにバス,フィーダーバス,コミュニティバス,富山市内周遊バス,その他特殊路線は利用不可。"
titetu91,1,特急乗車の場合、特急券必要。
kurobekyokoku01,1,プレミアムタイプ：全ての客車に乗車可能 
kurobekyokoku01,2, ベーシックタイプ：普通客車のみ乗車可能
ainokaze01,1,「あいの風ライナー」は別途ライナー券が必要
irtoyama01,1,"「あいの風ライナー」,金沢〜津幡間の特急列車を利用の際は、別途、ライナー券,特急券が必要"
toyama111,1,「一万三千尺物語」、あいの風サイクルトレインは利用不可
toyama111,2,「あいの風ライナー」は、別途ライナー券300円が必要
manyo03,1,"海王丸乗船券(大人400円,小人200円)付き"
ishikawa11,1,大人券の利用は小学生または中学生との同時利用に限る。
ishikawa12,1,大人券の利用は小学生または中学生との同時利用に限る。
ishikawa13,1,大人券の利用は小学生または中学生との同時利用に限る。
ishikawa14,1,大人券の利用は小学生または中学生との同時利用に限る。
noto02,1,特急バスは穴水〜輪島間および穴水〜珠洲間のみ利用可。
noto02,2,ＪＲの特急列車は利用不可
noto02,3,のと鉄道の観光列車「のと里山里海号」は500円の追加料金必要。
hokuriku01,1,臨時電車には乗車不可
hokuriku93,1,70歳以上 
hokuriku93,2, 購入時に公的機関発行の身分証明書が必要
hokuriku92,1,70歳以上 
hokuriku92,2, 購入時に公的機関発行の身分証明書が必要
etizen03,1,"三国花火大会当日(8月11日),恐竜博物館休館日は利用不可"
etizen04,1,宿の割り印がないものは、2日目は無効
etizen04,2,三国花火大会(8/10〜8/11)は利用不可
etizen01,1,三国花火大会開催日(8月11日)は使用できない。
etizenfukui01,1,三国花火大会開催日(8月11日)は使用できません。
etizen91,1,えちてつ沿線周遊スタンプラリーのキット商品
fukutetu73,1,福井駅前ハピリン2階の福福茶屋での食事券付
etizenfukui02,1,恐竜博物館休館日は使用不可
etizenfukui02,2,事前に 福井県立恐竜博物館公式サイト で、観覧券購入が必要
etizenfukui02,3,えちぜん鉄道「恐竜列車」は乗車不可
etizenfukui02,4,えちぜん鉄道勝山駅〜恐竜博物館のバスは往復
fukutetu04,1,越前市・鯖江市・福井市在住の65歳以上または自動車運転免許を返納された方
fukutetu04,2,事前にプレミア会員の登録が必要
jrwest154,1,継続乗車は、午前０時を過ぎて最初に停車する駅まで有効。電車特定区間内では最終列車まで有効。
jrwest202,1,QRチケット
jrwest151,1,「はなあかり号」「丹後くろまつ号」乗車不可。
jrwest204,1,QRチケット
jrwest203,1,QRチケット
jrwest205,1,QRチケット
iga45,1,試飲券は菊野商店の営業日・営業時間内のみ使用可
iga45,2,小人は試飲不可。
omi11,1,12月30日〜1月3日は使用不可
omi87,1,小人用のみの購入不可
naraikaruga,1,有料特急を利用する際は別途特急券が必要
eiden97,1,【比叡山延暦寺】諸堂巡拝券は別途必要
tantetsu70,1,天橋立傘松公園のケーブルカー・リフトは往復
tantetsu11,1,普通列車・快速列車・通勤ライナー・特急列車普通車指定席および自由席に乗車可
tantetsu11,2,"4/25〜5/10,8/10〜8/20,12/20〜翌1/15は利用不可。"
tantetsu61,1,"京丹後鉄道：普通列車,快速列車の自由席に乗車可 特急は別途特急券が必要"
tantetsu61,2,京都交通：高速バス乗車不可
tantetsu61,3,全但バス：特急バス、豊岡市コバス・コミュニティバスは乗車不可
tantetsu61,4,丹後海陸交通：高速バス、登山バス、コミュニティバスを除く
tantetsu02,1,大人と小人が同一行程での利用に限る
tantetsu02,2,特急列車に乗車の際は別途、特急券が必要
koyasan,1,大人券のみの設定
koyasan,2,南海・高野線で特急「こうや」を利用する際は別途特急券が必要
kintetu75,1,特急利用時は別途特急券が必要。
surukan10,1,IKEA鶴浜バス、USJシャトルバスは利用できない
osakamono87,1,IKEA鶴浜バス、USJシャトルバスは利用できない
kintetu67,1,特急利用時は別途特急券が必要。
kintetu93,1,葛城山ロープウェイ及びバス路線は乗車不可
kintetu97,1,特急利用時は別途特急券が必要
kintetu97,2,12月31日利用の場合、1月1日も利用可
keihan15,1,"購入時にチームラボ入場日時を指定
 ※指定した入場日時により価格が異なる。"
keihan99,1,比叡山延暦寺の巡拝は含まれない。
keihan14,1,滋賀県在住で、運転免許証を自主返納されたお客さま限定。
keihan14,2,購入時に「本人確認書類」の呈示が必要
keihan105,1,謎解きキット付き
keihan89,1,65歳以上(年齢を確認できる書類必要)
taikonoyu,1,"休館日(4/7〜4/8,7/8〜7/9,10/6,1/6,臨時休館日）は利用不可。"
nose74,1,大人1名と小人1名が利用可能
osaka03,1,夢洲駅は乗降不可
osaka03,2,"IKEA鶴浜行,ユニバーサル・スタジオ・ジャパン行バス,オンデマンドバス,森之宮・京橋周遊バスは利用不可"
osaka04,1,夢洲駅は乗降不可
osaka04,2,"IKEA鶴浜行,ユニバーサル・スタジオ・ジャパン行バス,オンデマンドバス,森之宮・京橋周遊バスは利用不可"
osakametoro92,1,"70歳以上(購入時に年齢が確認できる公的証明書等(健康保険証,運転免許証など)の提示が必要)"
osakametoro92,2,"IKEA鶴浜行バス,ユニバーサル・スタジオ・ジャパン行バス,空港バス,オンデマンドバスは利用不可"
osakametoro94,1,いまざとライナーは利用不可
osakametoro95,1,いまざとライナーは利用不可
osakametoro96,1,いまざとライナーは利用不可
osakametoro51,1,いまざとライナーは利用不可
osakametoro98,1,いまざとライナーは利用不可
osakametoro83,1,いまざとライナー乗車可
osakametoro83,2,"IKEA鶴浜行バス及びユニバーサル・スタジオ・ジャパンTM行バス,オンデマンドバス,森之宮・京橋周遊バスを除く"
osakametoro99,1,"大阪シティバス,いまざとライナー,オンデマンドバスは利用不可"
