ticket_id,ticket_name_ja,ticket_name_zh,name_cov,restriction_cov,operator_conf,flag_name,flag_restriction
isaribi91,いさりび１日きっぷ,渔火1日车票,1.0,1.0,0.9,False,False
isaribi92,いさりび1日カンパス,渔火1日校园,1.0,1.0,0.9,False,False
jreast51,五能線フリーパス,五能線免费乘车通票,1.0,1.0,1.0,False,False
sendaimarugoto,仙台まるごとパス,仙台全域通票,1.0,1.0,1.0,False,False
aizugurutto,会津ぐるっとカード,会津环绕卡,1.0,1.0,1.0,False,False
jreast64-1,津軽フリーパス,津軽免费乘车通票,1.0,1.0,1.0,False,False
jreast34,小さな旅ホリデーパス,小旅游行假日通票,1.0,1.0,1.0,False,False
jreast36,あおもりホリデーパス,青森假日通票,1.0,1.0,1.0,False,False
jreast48,あきたホリデーパス,秋田假日通票,1.0,0.697,1.0,False,False
sendaimarugotowide,仙台まるごとパスワイド,仙台全域通票广域,1.0,1.0,1.0,False,False
tugaru99,コロプラ☆乗り放題1日フリーきっぷ,COLOPL☆无限乘坐1日免费乘车通票,1.0,0.619,0.9,False,False
tugaru91,１日フリーパス,1日免费乘车通票,1.0,0.688,0.9,False,False
tugaru94,９５周年記念イベント参加権付２日間フリーパス,95周年記念活动参加権付2日間免费乘车通票,1.0,1.0,0.9,False,False
tugaru95,開業９５周年記念 津鉄１日フリー切符,開業95周年記念 津鉄1日免费车票,1.0,1.0,0.9,False,False
konan01,大黒様きっぷ,大黒様车票,1.0,1.0,0.9,False,False
aoimori03,青い森ツーリストパス,青森旅游游通票,1.0,0.85,0.9,False,False
aoimori100,Aomori city おでかけフリーパス,Aomori city 出行免费乘车通票,1.0,0.892,0.9,False,False
aoimori02,青い森ワンデーパス,青森一日通票,1.0,0.63,0.9,False,False
igraoimori81,もりもりフリーパス,森森(Morimori)免费乘车通票,1.0,0.9,0.9,False,False
aoimori92,メハチパス,Mehachi通票,1.0,1.0,0.9,False,False
aoimori94,ツーデーパス,二日通票,1.0,0.667,0.9,False,False
aoimori101,Aomori city おでかけフリーパス（コラボデザイン版）,Aomori city 出行免费乘车通票(联名デザイン版),0.862,0.824,0.9,False,False
aoimori102,青い森ワンデーパス（コラボデザイン版）,青森一日通票(联名デザイン版),0.733,0.63,0.9,True,False
akitajukan01,秋田内陸ワンデーパス,秋田内陸一日通票,1.0,1.0,0.9,False,False
akitajukan02,秋田内陸ツーデーパス,秋田内陸二日通票,1.0,1.0,0.9,False,False
akitajukan03,バースデー1日乗り放題きっぷ,生日1日无限乘坐车票,1.0,0.629,0.9,False,False
akitajukan94,丙午一日満喫きっぷ,丙午一日満喫车票,1.0,0.855,0.9,False,False
akitajukan92,コロプラフリーきっぷ,COLOPL免费乘车通票,1.0,1.0,0.9,False,False
yurikogen02,沿線満喫(おもちゃ)切符,沿線満喫(玩具)车票,1.0,0.583,0.9,False,True
yurikogen01,楽楽遊遊乗車券,楽楽遊遊乘车券,1.0,1.0,0.9,False,False
igr93,IGRホリデーフリーきっぷ,IGR假日免费乘车通票,1.0,1.0,0.9,False,False
igr97,ＩＧＲでＧＯ！でたとこきっぷ,IGRでGO!到达车票,0.909,0.579,0.9,False,True
igr98,金田一温泉湯めぐりきっぷ,金田一温泉湯巡游车票,1.0,1.0,0.9,False,False
sanriku11,リアス線全線フリー乗車券,谷湾線全线免费乘车券,1.0,1.0,0.9,False,False
sanriku25,岩泉龍泉洞１日フリーきっぷ,岩泉龍泉洞1日免费乘车通票,1.0,0.771,0.9,False,False
sanriku12,１日フリー乗車券(盛〜釜石間用),1日免费乘车券(盛〜釜石間用),1.0,1.0,0.9,False,False
sanriku13,１日フリー乗車券(釜石〜宮古間用),1日免费乘车券(釜石〜宮古間用),1.0,1.0,0.9,False,False
sanriku14,１日フリー乗車券(宮古〜久慈間用),1日免费乘车券(宮古〜久慈間用),1.0,1.0,0.9,False,False
sanriku22,中高生1日フリー乗車券(盛〜釜石間用),中高生1日免费乘车券(盛〜釜石間用),1.0,0.92,0.9,False,False
sanriku23,中高生1日フリー乗車券(釜石〜宮古間用),中高生1日免费乘车券(釜石〜宮古間用),1.0,0.92,0.9,False,False
sanriku86,三鉄ワンコインフリーパス,三鉄一枚硬币价免费乘车通票,1.0,1.0,0.9,False,False
sanriku84,やませジョイフルよ市きっぷ,山风欢乐夜市车票,1.0,0.7,0.9,False,False
sanriku85,400円きっぷ,400円车票,1.0,1.0,0.9,False,False
flower02,もっちぃ親子・孫乗り放題きっぷ,萌奇(Mocchi)親子・孫无限乘坐车票,1.0,0.731,0.9,False,False
flower01,土休日フリーきっぷ,周六日免费乘车通票,1.0,1.0,0.9,False,False
sendai01,地下鉄一日乗車券,地铁一日乘车券,1.0,1.0,1.0,False,False
sendai03,るーぷる仙台・地下鉄共通一日乗車券,环游(Loop)仙台・地铁通用一日乘车券,1.0,0.75,1.0,False,False
sendai92,Pokemon GO Fest 2024:仙台 地下鉄24時間券・地下鉄36時間券,Pokemon GO Fest 2024:仙台 地铁24小时券・地铁36時間券,1.0,1.0,1.0,False,False
sendai93,東北絆まつり2024仙台 地下鉄24時間券・地下鉄36時間券,东北絆祭典2024仙台 地铁24小时券・地铁36時間券,1.0,1.0,1.0,False,False
abukyu12,飯坂温泉日帰りきっぷ,飯坂温泉日帰り车票,0.889,1.0,0.5,False,False
abukyu01,「阿武急の日」フリー乗車券,「阿武急の日」免费乘车券,0.917,1.0,0.5,False,False
abukyu05,あぶ急トクだねきっぷ,阿武急划算车票,1.0,1.0,0.5,False,False
abukyu102,学割乗車券,学割乘车券,1.0,1.0,0.5,False,False
abukyu85,初恋＊れ〜るとりっぷ フリー乗車券,初恋*铁路旅游行 免费乘车券,1.0,1.0,0.5,False,False
abukyu84,イベントフリー切符,活动免费车票,1.0,1.0,0.5,False,False
abukyu101,ポケモン天文台 1DAY PASS,宝可梦天文台 1DAY PASS,1.0,1.0,0.5,False,False
abukyu92,櫻めぐり切符,櫻巡游车票,1.0,1.0,0.5,False,False
abukyu87,伊達のふる里夏まつりおトクきっぷ,伊達の故乡夏祭典おトク车票,0.692,1.0,0.5,True,False
abukyu97,シニア割ワンコインきっぷ,银发割一枚硬币价车票,1.0,1.0,0.5,False,False
fukusima03,いい電1日フリーきっぷ,好电1日免费乘车通票,1.0,0.8,0.5,False,False
fukusima01,飯坂温泉湯ったり切符,飯坂温泉泡汤车票,1.0,1.0,0.5,False,False
fukusima02,花ももフリーきっぷ,花桃免费乘车通票,1.0,0.818,0.5,False,False
fukusima93,いい電コロプラ1日フリー切符,好电COLOPL1日免费车票,1.0,1.0,0.5,False,False
aizu01,会津・日光フリーきっぷ(若松エリア),会津・日光免费乘车通票(若松区域),1.0,1.0,0.9,False,False
aizu02,会津・日光フリーきっぷ(南会津エリア),会津・日光免费乘车通票(南会津区域),1.0,1.0,0.9,False,False
aizu96,いい夫婦の日フリーきっぷ,好夫妻の日免费乘车通票,0.909,0.875,0.9,False,False
aizu91,コロプラ☆乗り放題キップ,COLOPL☆无限乘坐车票,1.0,0.697,0.9,False,False
jreast17,都区内パス,都区内通票,1.0,1.0,1.0,False,False
tokyo01,東京フリーきっぷ,东京免费乘车通票,1.0,0.636,1.0,False,False
jreast18,ヨコハマ・みなとみらいパス,横滨・港未来通票,1.0,1.0,1.0,False,False
jreast071,ぐんまワンデーローカルパス,群马一日地方通票,1.0,0.526,1.0,False,True
jreast10,休日おでかけパス,假日出行通票,1.0,0.562,1.0,False,True
jreast12,のんびりホリデーSuicaパス,悠闲假日Suica通票,1.0,0.621,1.0,False,False
jreast37,モノレール＆都区内パス,单轨电车&都区内通票,1.0,0.455,1.0,False,True
jreast45,ときわ路パス,常盘路通票,1.0,0.641,1.0,False,False
jreast46,サンキュー ちばフリーパス,谢恩 千叶免费乘车通票,1.0,0.705,1.0,False,False
jreast13,ひみつの平日パス,秘密の平日通票,0.857,0.562,1.0,False,True
yagan01,会津鬼怒川線史跡めぐり往復割引きっぷ,会津鬼怒川線史跡巡游往返优惠车票,1.0,1.0,0.9,False,False
yagan11,野岩鉄道会津鬼怒川線全線フリーきっぷ,野岩鉄道会津鬼怒川線全线免费乘车通票,1.0,1.0,0.9,False,False
yagan12,野岩・会津全線フリーきっぷ,野岩・会津全线免费乘车通票,1.0,1.0,0.9,False,False
yagan13,塩原温泉・野岩鉄道満喫切符,塩原温泉・野岩鉄道満喫车票,1.0,1.0,0.9,False,False
kantetu02,常総線・真岡鉄道共通一日自由きっぷ,常総線・真岡鉄道通用一日自由车票,1.0,0.64,0.5,False,False
mooka92,益子陶器市フリー切符,益子陶器市免费车票,1.0,0.765,0.5,False,False
utsunomiya01,ライトライン一日乗車券,轻轨线一日乘车券,1.0,1.0,0.5,False,False
watarase01,一日フリーきっぷ,一日免费乘车通票,1.0,1.0,0.9,False,False
watarase91,コロプラ一日フリーきっぷ,COLOPL一日免费乘车通票,1.0,1.0,0.9,False,False
jomou02,赤城南麓１日フリー切符,赤城南麓1日免费车票,1.0,1.0,0.9,False,False
jomou03,運転免許返納者割引ワンデーフリーパス,運転免許返納者优惠一日免费乘车通票,1.0,1.0,0.9,False,False
jomou98,上毛電気鉄道×前橋ウィッチーズ 赤城南麓1日フリー切符,上毛電気鉄道×前橋女巫 赤城南麓1日免费车票,1.0,1.0,0.9,False,False
jomou91,早春桜花切符,早春桜花车票,1.0,1.0,0.9,False,False
jomou01,鉄道の日＆群馬県民の日記念ワンデーフリー切符,鉄道の日&群马県民の日記念一日免费车票,0.895,1.0,0.9,False,False
joshin11,1日全線フリー乗車券,1日全线免费乘车券,1.0,1.0,0.9,False,False
joshin12,上野三碑巡り記念乗車券,上野三碑巡り記念乘车券,0.909,1.0,0.9,False,False
joshin94,群馬県民の日・鉄道記念日1日全線フリー乗車券,群马県民の日・鉄道記念日1日全线免费乘车券,0.952,1.0,0.9,False,False
joshin93,寿・ワンコイン1日フリー乗車券,寿・一枚硬币价1日免费乘车券,1.0,1.0,0.9,False,False
joshin98,上信電鉄 高校生世代限定お得きっぷ,上信電鉄 高校生世代限定优惠车票,1.0,1.0,0.9,False,False
joshin99,上信電鉄 複数人お得きっぷ,上信電鉄 複数人优惠车票,1.0,1.0,0.9,False,False
minatosen11,湊線１日フリーきっぷ,凑线1日免费乘车通票,1.0,1.0,0.9,False,False
minatosen13,1日フリー乗車券,1日免费乘车券,1.0,1.0,0.9,False,False
minatosen02,ひたち海浜公園入園券付き湊線１日フリー切符,日立海滨公园入園券付き凑线1日免费车票,0.947,1.0,0.9,False,False
minatosen03,湊線応援券付き湊線１日フリー切符,凑线应援券付き凑线1日免费车票,0.933,1.0,0.9,False,False
minatosen92,殿山ゆいかデビュー４周年記念乗車券,殿山由衣出道4周年記念乘车券,1.0,1.0,0.9,False,False
minatosen91,コロプラ1日フリー乗車券,COLOPL1日免费乘车券,1.0,1.0,0.9,False,False
kantetu94,竜鉄コロッケ★フリーきっぷ,龙铁炸肉饼★免费乘车通票,1.0,1.0,0.9,False,False
kantetu01,常総線１日フリーきっぷ,常総線1日免费乘车通票,1.0,1.0,0.9,False,False
tukuba91,ＴＸ！１日乗り放題きっぷ,TX!1日无限乘坐车票,1.0,1.0,0.9,False,False
tukuba92,埼玉県民の日フリー乗車券,埼玉県民の日免费乘车券,0.909,1.0,0.9,False,False
ryutetsu,流鉄流山線一日フリー乗車券,流鉄流山線一日免费乘车券,1.0,1.0,0.5,False,False
maihama01,１日フリーきっぷ,1日免费乘车通票,1.0,1.0,0.5,False,False
hokusou91,北総線1日乗車券,北総線1日乘车券,1.0,1.0,1.0,False,False
hokusou95,北総・下町めぐりきっぷ,北総・下町巡游车票,1.0,1.0,1.0,False,False
toyo81,春の土休日1日乗車券,春の周六日1日乘车券,0.9,1.0,1.0,False,False
toyo95,夏の土休日1日乗車券,夏の周六日1日乘车券,0.9,0.889,1.0,False,False
toyo92,年末年始の土休日1日乗車券,年末年始の周六日1日乘车券,0.923,1.0,1.0,False,False
toyo96,東葉車両基地まつり1日乗車券,東葉車両基地祭典1日乘车券,1.0,1.0,1.0,False,False
toyo83,東葉高速線 開業30周年記念1日乗車券,東葉高速線 開業30周年記念1日乘车券,1.0,1.0,1.0,False,False
yamaman01,１日乗車券,1日乘车券,1.0,1.0,0.5,False,False
tyoshi01,弧廻手形,弧廻手形,1.0,0.966,0.9,False,False
tyoshi93,銚子1日旅人パス,銚子1日旅游人通票,1.0,0.966,0.9,False,False
tyoshi04,ちょうしいいライド！パス,铫子好骑行!通票,1.0,1.0,0.9,False,False
tyoshi05,犬吠崖っぷちライン1日乗車券,犬吠崖线ライン1日乘车券,0.75,1.0,0.9,True,False
tyoshi11,デジタル1日乗車券 Beica,电子1日乘车券 Beica,1.0,1.0,0.9,False,False
tyoshi91,元旦限定弧廻手形,元旦限定弧廻手形,1.0,1.0,0.9,False,False
isumi01,いすみ鉄道一日フリー乗車券(平日用),夷隅铁道一日免费乘车券(平日用),1.0,0.75,0.9,False,False
isumi02,いすみ鉄道一日フリー乗車券(土休日用),夷隅铁道一日免费乘车券(周六日用),1.0,0.8,0.9,False,False
isumi06,ないすみーとゅー iSumica,Naisumītyū iSumica,1.0,0.75,0.9,False,False
kominato01,1日フリーきっぷ,1日免费乘车通票,1.0,1.0,0.9,False,False
kominato02,上総鶴舞・高滝周遊乗車券,上総鶴舞・高滝周游乘车券,1.0,1.0,0.9,False,False
kominato03,里山フリーきっぷ,里山免费乘车通票,1.0,0.75,0.9,False,False
kominato82,なつやすみファミリーきっぷ,暑假家庭车票,1.0,1.0,0.9,False,False
chiba01,ホリデーフリーきっぷ,假日免费乘车通票,1.0,1.0,0.9,False,False
chiba04,2-Dayフリーきっぷ,2-Day免费乘车通票,1.0,1.0,0.9,False,False
chiba02,お昼のお出かけフリーきっぷ,午后の出行免费乘车通票,0.909,1.0,0.9,False,False
tobu96,東武鉄道×秩父鉄道SAITAMAプラチナルート乗車券,东武鉄道×秩父鉄道埼玉白金路线乘车券,1.0,1.0,0.9,False,False
titibu03,秩父路遊々フリーきっぷ,秩父路遊々免费乘车通票,1.0,0.621,0.9,False,False
titibu98,長瀞・秩父GO！GO！フリーきっぷ,長瀞・秩父GO!GO!免费乘车通票,1.0,0.738,0.9,False,False
saitama_titibu,埼玉県民の日フリー乗車券,埼玉県民の日免费乘车券,0.909,0.818,0.9,False,False
srail92,ＳＲ一日乗車券,SR一日乘车券,1.0,1.0,1.0,False,False
srail83,こども50円きっぷ,儿童50円车票,1.0,1.0,1.0,False,False
srail85,ゴールデンウィーク スーパーバリューパス,黄金周 超级超值通票,1.0,1.0,1.0,False,False
srail94,たたら祭りハッピーきっぷ,踏鞴祭快乐车票,1.0,1.0,1.0,False,False
srail93,2025鉄道の日記念乗車券,2025鉄道の日記念乘车券,0.923,1.0,1.0,False,False
srail87,サンクス25グランプリきっぷ,感谢25大奖赛车票,1.0,1.0,1.0,False,False
saitama_kosoku,埼玉県民の日フリー乗車券,埼玉県民の日免费乘车券,0.909,1.0,1.0,False,False
srail91,ゆく年くる年 冬休みスーパーバリューパス,辞旧迎新 寒假超级超值通票,1.0,1.0,1.0,False,False
saitama50,ニューシャトル １日フリー乗車券,New Shuttle 1日免费乘车券,1.0,1.0,0.5,False,False
saitama51,伊奈バラまつりフリーきっぷ,伊奈玫瑰祭典免费乘车通票,1.0,1.0,0.5,False,False
saitama91,けんかつブルワリーフェスタフリーきっぷ,县割啤酒厂庆典免费乘车通票,1.0,1.0,0.5,False,False
saitama93,『ありがとう、さようなら1050系』ニューシャトル1日フリー乗車券,『ありがとう、さようなら1050系』New Shuttle1日免费乘车券,0.722,1.0,0.5,True,False
saitama_sinkotsu,埼玉県民の日記念ニューシャトル1日フリー乗車券,埼玉県民の日記念New Shuttle1日免费乘车券,0.962,1.0,0.5,False,False
keisei03,下町日和きっぷ,下町日和车票,1.0,1.0,0.9,False,False
keisei81,京成線ワンデーパス,京成線一日通票,1.0,0.926,0.9,False,False
keisei83,ナゾ解きした町電車旅2024 １日乗車券,解谜解きした町電車旅游2024 1日乘车券,0.857,0.652,0.9,False,False
tobu02,東京スカイツリー周辺散策フリーきっぷ,东京天空树周边散步免费乘车通票,1.0,1.0,1.0,False,False
tobu03,台東・墨田 東京下町周遊きっぷ,台東・墨田 东京下町周游车票,1.0,1.0,1.0,False,False
tobu94,日光・鬼怒川エリア鉄道乗り放題きっぷ,日光・鬼怒川区域鉄道无限乘坐车票,1.0,1.0,1.0,False,False
tobu04,日光・大内宿フリーきっぷ,日光・大内宿免费乘车通票,1.0,1.0,1.0,False,False
saitama_tobu,埼玉県民の日フリー乗車券,埼玉県民の日免费乘车券,0.909,1.0,1.0,False,False
tobu91,東上線１日フリーきっぷ,東上線1日免费乘车通票,1.0,1.0,1.0,False,False
tobu05,東武本線乗り放題デジタルきっぷ,东武本線无限乘坐电子车票,1.0,1.0,1.0,False,False
tobu62,リアル桃鉄でガチ沿線めぐり 東武 vs 近鉄 新幹線で東西制覇！(スカイツリーラインエリア)フリーきっぷ,真实桃铁认真沿線巡游 东武 vs 近铁 新幹線で東西制覇!(天空树线区域)免费乘车通票,0.977,1.0,1.0,False,False
tobu63,リアル桃鉄でガチ沿線めぐり 東武 vs 近鉄 新幹線で東西制覇！(東上線エリア)フリーきっぷ,真实桃铁认真沿線巡游 东武 vs 近铁 新幹線で東西制覇!(東上線区域)免费乘车通票,0.976,1.0,1.0,False,False
tobu64,リアル桃鉄でガチ沿線めぐり 東武 vs 近鉄 新幹線で東西制覇！(アーバンパークラインエリア)フリーきっぷ,真实桃铁认真沿線巡游 东武 vs 近铁 新幹線で東西制覇!(都市公园线区域)免费乘车通票,0.977,1.0,1.0,False,False
tobu95,東武宇都宮線1日フリー乗車券,东武宇都宮線1日免费乘车券,1.0,1.0,1.0,False,False
seibu11,ムーミンバレーパークおでかけパス,姆明山谷公园出行通票,1.0,1.0,1.0,False,False
seibu13,メッツァ・ハイパーミュージアムおでかけパス,Metsa超博物馆出行通票,1.0,1.0,1.0,False,False
seibu14,西武園ゆうえんちトクトクパス,西武园游乐园超值通票,1.0,1.0,1.0,False,False
seibu120,はんのう満喫！ムーミンバレーパークおでかけパス,饭能畅游!姆明山谷公园出行通票,1.0,1.0,1.0,False,False
seibu117,「ラブライブ！蓮ノ空女学院スクールアイドルクラブ×西武鉄道 記念キャンペーン」 西武線１日フリーきっぷ,「LoveLive!莲之空女学院校园偶像クラブ×西武鉄道 纪念活动」 西武线1日免费乘车通票,0.935,1.0,1.0,False,False
seibu118,アニメ『魔入りました！入間くん』×西武鉄道 おトクにおでかけきっぷ,动画『入魔了!入间くん』×西武鉄道 优惠出行车票,0.917,1.0,1.0,False,False
seibu119,秩父 夏のおでかけきっぷ,秩父 夏の出行车票,0.889,1.0,1.0,False,False
seibu122,西武園ゆうえんち 夏満喫トクトクパス,西武园游乐园 夏満喫超值通票,1.0,1.0,1.0,False,False
seibu121,西武園ゆうえんち プールトクトクパス,西武园游乐园 プール超值通票,0.857,1.0,1.0,False,False
seibu123,栗山巧 Legend History 1DayPass 第一弾「デビューの奇跡」,栗山巧 Legend History 1DayPass 第一弾「出道の奇跡」,0.974,1.0,1.0,False,False
seibu124,栗山巧 Legend History 1DayPass 第二弾「キャプテンの証」,栗山巧 Legend History 1DayPass 第二弾「キャプテンの証」,0.85,1.0,1.0,False,False
seibu125,サステナ車両7000系デビュー記念乗車券,Sustena車両7000系出道記念乘车券,1.0,1.0,1.0,False,False
seibu97,奥むさし駅伝応援きっぷ,奥武藏驿传应援车票,1.0,1.0,1.0,False,False
seibu106,西武鉄道・バス おトクにおでかけきっぷ,西武铁道·巴士 优惠出行车票,1.0,0.666,1.0,False,False
seibu107,おいでよ！秩父・横瀬きっぷ,快来!秩父・横濑车票,1.0,1.0,1.0,False,False
seibu108,とこっと周遊きっぷ,处处周游车票,1.0,1.0,1.0,False,False
seibu113,スパルタンレースきっぷ,斯巴达竞速车票,1.0,1.0,1.0,False,False
seibu105,LIONS THANKS FESTA 2025 記念乗車券,LIONS THANKS FESTA 2025 記念乘车券,1.0,1.0,1.0,False,False
saitama_seibu,埼玉県民の日フリー乗車券,埼玉県民の日免费乘车券,0.909,1.0,1.0,False,False
metro02,東京メトロ24時間券,东京地铁24小时券,1.0,1.0,0.5,False,False
tokyo02,都営地下鉄・東京メトロ共通一日乗車券,都营地铁・东京地铁通用一日乘车券,1.0,0.471,0.5,False,True
metro109,『オルセー美術館所蔵 印象派―室内をめぐる物語』開催記念 東京メトロオリジナル24時間券,『オルセー美術館所蔵 印象派―室内をめぐる物語』举办纪念 东京地铁原创24小时券,0.825,1.0,0.5,True,False
metro110,ＴＶアニメ「正反対な君と僕」放送記念 東京メトロオリジナル24時間券,TV动画「正反対な君と僕」放送記念 东京地铁原创24小时券,0.931,1.0,0.5,False,False
metro111,OVERWATCH×HELLO KITTY AND FRIENDS 東京メトロオリジナル24時間券,OVERWATCH×HELLO KITTY AND FRIENDS 东京地铁原创24小时券,1.0,1.0,0.5,False,False
toei03,都営まるごときっぷ,都营全域车票,1.0,0.471,1.0,False,True
toei02,都電一日乗車券/都電IC一日乗車券,都電一日乘车券/都電IC一日乘车券,1.0,1.0,1.0,False,False
toei23,都営地下鉄ワンデーパス,都营地铁一日通票,1.0,0.467,1.0,False,True
toei92,ポケモン×工芸展－美とわざの大発見－都営まるごときっぷ,宝可梦×工艺展-美与技の大发现-都营全域车票,0.955,0.471,1.0,False,True
tokyu01,世田谷線散策きっぷ,世田谷線散策车票,1.0,1.0,1.0,False,False
tokyu02,東急線トライアングルパス,东急線三角通票,1.0,1.0,1.0,False,False
tokyu03,横浜中華街旅グルメきっぷ,横滨中华街旅游美食车票,1.0,1.0,1.0,False,False
tokyu91,東急線ワンデーパス,东急線一日通票,1.0,1.0,1.0,False,False
tokyu95,東急線・東急バス 一日乗り放題パス,东急線・东急巴士 一日无限乘坐通票,1.0,0.655,1.0,False,False
tokyu05,東急線みなとみらい線ワンデーパス,东急線港未来線一日通票,1.0,0.802,1.0,False,False
tokyu07,池上線・東急多摩川線ワンデーパス,池上線・东急多摩川線一日通票,1.0,1.0,1.0,False,False
sotetsutokyu01,相鉄・東急 共通1日乗車券,相铁・东急 通用1日乘车券,1.0,0.802,1.0,False,False
tokyu92,東急線キッズパス,东急線儿童通票,1.0,1.0,1.0,False,False
tokyu81,東急線・東京メトロ共通１日乗車券,东急線・东京地铁通用1日乘车券,1.0,0.802,1.0,False,False
tokyu82,東急線・都営地下鉄・東京メトロ共通１日乗車券,东急線・都营地铁・东京地铁通用1日乘车券,1.0,0.802,1.0,False,False
keikyu01,横浜1DAYきっぷ,横滨1DAY车票,1.0,0.812,1.0,False,False
keikyu03,東京1DAYきっぷ,东京1DAY车票,1.0,0.632,1.0,False,False
keikyu02,三浦半島1DAYきっぷ,三浦半島1DAY车票,1.0,1.0,1.0,False,False
keikyu08,三浦半島まるごときっぷ,三浦半島全域车票,1.0,0.585,1.0,False,True
keikyu04,よこすか満喫きっぷ,横须贺満喫车票,1.0,1.0,1.0,False,False
keikyu11,京急全線1日フリーパス,京滨急行全线1日免费乘车通票,1.0,0.807,1.0,False,False
keikyu12,京急線・京急バス1日フリーパス,京滨急行線・京滨急行巴士1日免费乘车通票,1.0,0.807,1.0,False,False
keikyu13,東京周遊パス,东京周游通票,1.0,0.807,1.0,False,False
