チケットID,チケット名,運営会社,全運営会社,会社数,联名フラグ,地域コード,地域,地域(中),跨地域,発売タイプコード,発売タイプ,発売タイプ(中),媒体,紙チケット,スマホチケット,発売状況コード,発売状況図例,発売開始,発売終了,大人料金,小人料金,最低料金,料金,有効期間,有効日数,発売期間,利用期間,フリー区間,区間地図,利用可能設備,制限事項,制限数,発売箇所,問合せ,備考,公式URL,公式リンク,拡張項目,詳細URL,保存ファイル,表示順,取得日時,タイトル,発売数量,申込期間,申込場所,元索引
tokyu92,東急線キッズパス,東京急行電鉄,['東京急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],holiday,週末限定タイプ,周末限定,['実券'],TRUE,FALSE,on_sale,発売中,,,100,,100,大人：-／小人：100円,１日間,1,土休日の始発〜22:30,"土休日 
 2026年3月20日〜2026年4月5日の毎日 
 2026年7月17日〜2026年8月30日の毎日",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/tokyu.gif'],,[],0,"東急線各駅(こどもの国線,世田谷線各駅を除く)の券売機 
 Q SKIP （https://www.q-skip.tokyu.co.jp/）",東急電鉄 TEL:03-3477-0109,,https://www.tokyu.co.jp/railway/ticket/types/value_ticket/kidspass_ticket.html,"[{'text': '東急電鉄', 'url': 'https://www.tokyu.co.jp/railway/ticket/types/value_ticket/kidspass_ticket.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokyu92.htm,tokyu92.htm,142,2026-08-10 01:30:50.424840+00:00,東急線キッズパス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokyu92.htm
tokyu81,東急線・東京メトロ共通１日乗車券,東京急行電鉄,['東京急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],kikan,期間限定タイプ,期间限定,[],FALSE,FALSE,on_sale,発売中,,,1280,640,640,"大人：1,280円／小人：640円",１日間,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/tokyu81.gif'],,['別途、「PASMO」が必要。 (モバイルPASMO、ApplePayのPASMO、PASMO定期券、クレジット一体型PASMO、PASMO以外のICカードを除く)'],1,"東急線各駅(こどもの国線,世田谷線各駅を除く)の券売機",東急電鉄 TEL:03-3477-0109,,https://www.tokyu.co.jp/railway/ticket/types/value_ticket/metro_onedayticket.html,"[{'text': '東急電鉄', 'url': 'https://www.tokyu.co.jp/railway/ticket/types/value_ticket/metro_onedayticket.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokyu81.htm,tokyu81.htm,143,2026-08-10 01:30:50.424840+00:00,東急線・東京メトロ共通１日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokyu81.htm
tokyu82,東急線・都営地下鉄・東京メトロ共通１日乗車券,東京急行電鉄,['東京急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],kikan,期間限定タイプ,期间限定,[],FALSE,FALSE,on_sale,発売中,,,1680,840,840,"大人：1,680円／小人：840円",１日間,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/tokyu82.gif'],,['別途、「PASMO」が必要。 (モバイルPASMO、ApplePayのPASMO、PASMO定期券、クレジット一体型PASMO、PASMO以外のICカードを除く)'],1,"東急線各駅(こどもの国線,世田谷線各駅を除く)の券売機",東急電鉄 TEL:03-3477-0109,,https://www.tokyu.co.jp/railway/ticket/types/value_ticket/subway_metro_onedayticket.html,"[{'text': '東急電鉄', 'url': 'https://www.tokyu.co.jp/railway/ticket/types/value_ticket/subway_metro_onedayticket.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokyu82.htm,tokyu82.htm,144,2026-08-10 01:30:50.424840+00:00,東急線・都営地下鉄・東京メトロ共通１日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokyu82.htm
keikyu01,横浜1DAYきっぷ,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,1070,530,530,"大人：1,070円／小人：530円",１日間,1,通年,発売当日限り,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu01.gif'],,['横浜市営地下鉄線の吉野町〜上大岡間は乗車できるが、途中下車不可。'],1,"横浜〜上大岡の各駅 
 京急線各駅（泉岳寺を除く）では、フリー区間までの往復運賃をセットにして発売している。",京浜急行 TEL:03-3280-9144(鉄道営業部),,http://www.keikyu.co.jp/information/otoku/otoku_yokohama/index.html,"[{'text': '京浜急行電鉄', 'url': 'http://www.keikyu.co.jp/information/otoku/otoku_yokohama/index.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu01.htm,keikyu01.htm,145,2026-08-10 01:30:50.424840+00:00,横浜1DAYきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu01.htm
keikyu03,東京1DAYきっぷ,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,910,450,450,大人：910円／小人：450円,１日間,1,通年,発売当日限り,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu03.gif'],,['都バスは、深夜バス，座席定員制バス，その他交通局規程で定める運行系統を除く。'],1,"品川駅 
 京急線各駅(泉岳寺を除く)では、フリー区間までの往復運賃をセットにして発売している。",京浜急行 TEL:03-3280-9144(鉄道営業部),,http://www.keikyu.co.jp/information/otoku/otoku_tokyo/index.html,"[{'text': '京浜急行電鉄', 'url': 'http://www.keikyu.co.jp/information/otoku/otoku_tokyo/index.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu03.htm,keikyu03.htm,146,2026-08-10 01:30:50.424840+00:00,東京1DAYきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu03.htm
keikyu02,三浦半島1DAYきっぷ,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,1260,500,500,"大人：1,260円／小人：500円",１日間,1,通年,発売当日限り,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu02.gif'],,[],0,"フリー区間各駅 
 京急線各駅(泉岳寺を除く)では、フリー区間までの往復運賃をセットにして発売している。2日間有効もあり。",京浜急行 TEL:03-3280-9144(鉄道営業部),,https://www.keikyu.co.jp/visit/otoku/otoku_miura.html,"[{'text': '京浜急行電鉄', 'url': 'https://www.keikyu.co.jp/visit/otoku/otoku_miura.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu02.htm,keikyu02.htm,147,2026-08-10 01:30:50.424840+00:00,三浦半島1DAYきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu02.htm
keikyu08,三浦半島まるごときっぷ,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券' 'デジタル'],TRUE,TRUE,on_sale,発売中,,,4300,3420,3420,"磁気券 大人：4,500円／小人：3,420円 
 デジタル券 大人：4,300円／小人：3,420円",2日間,2,通年,発売当日限り,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu02.gif'],,['指定店舗での食事券' '施設利用orおみやげ券 がセットになっている。'],2,"フリー区間各駅 
 京急線各駅(泉岳寺を除く)では、フリー区間までの往復運賃をセットにして発売している。 
 デジタル券： 三浦COCOON",京浜急行 TEL:03-3280-9144(鉄道営業部),,https://www.keikyu.co.jp/visit/otoku/marugoto/,"[{'text': '京浜急行電鉄', 'url': 'https://www.keikyu.co.jp/visit/otoku/marugoto/'}
 {'text': '三浦COCOON', 'url': 'https://miuracocoon.com/tickets/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu08.htm,keikyu08.htm,148,2026-08-10 01:30:50.424840+00:00,三浦半島まるごときっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu08.htm
keikyu04,よこすか満喫きっぷ,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券' 'デジタル'],TRUE,TRUE,on_sale,発売中,,,3010,2500,2500,"磁気乗車券 大人：3,210円／小人：2,500円 
 デジタルきっぷ 大人：3,010円／小人：2,500円",１日間,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu04.gif'],,[],0,"磁気券 ：フリー区間内各駅券売機 
 デジタル券 ： 三浦COCOON",京浜急行電鉄ご案内センター TEL:03-5789-8686 または 045-441-0999,,https://www.keikyu.co.jp/visit/otoku/yokosuka_mankitsu/,"[{'text': '京浜急行電鉄', 'url': 'https://www.keikyu.co.jp/visit/otoku/yokosuka_mankitsu/'}
 {'text': '三浦COCOON', 'url': 'https://miuracocoon.com/tickets/ot001/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu04.htm,keikyu04.htm,149,2026-08-10 01:30:50.424840+00:00,よこすか満喫きっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu04.htm
keikyu11,京急全線1日フリーパス,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,[],FALSE,FALSE,on_sale,発売中,,,2000,,2000,"大人：2,000円／小人：----円",１日間,1,発売中,発売当日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu11.gif'],,"['PASMO(記名・無記名)が必要 (モバイルPASMO,ApplePayのPASMO,PASMO定期券,クレジット一体型PASMO,PASMO以外のICカードを除く)']",1,京急各駅窓口(泉岳寺駅を除く),京急ご案内センター TEL：03-5789-8686,,https://www.keikyu.co.jp/visit/otoku/otoku_pasmo_ensen.html,"[{'text': '京浜急行電鉄', 'url': 'https://www.keikyu.co.jp/visit/otoku/otoku_pasmo_ensen.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu11.htm,keikyu11.htm,150,2026-08-10 01:30:50.424840+00:00,京急全線1日フリーパス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu11.htm
keikyu12,京急線・京急バス1日フリーパス,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,[],FALSE,FALSE,on_sale,発売中,,,3200,,3200,"大人：3,200円／小人：---円",１日間,1,発売中,購入から24時間,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu12.gif'],,"['PASMO(記名・無記名)が必要 (モバイルPASMO,ApplePayのPASMO,PASMO定期券,クレジット一体型PASMO,PASMO以外のICカードを除く)']",1,京急各駅窓口(泉岳寺駅を除く),京急ご案内センター TEL：03-5789-8686,,https://www.keikyu.co.jp/visit/otoku/otoku_pasmo_ensen.html,"[{'text': '京浜急行電鉄', 'url': 'https://www.keikyu.co.jp/visit/otoku/otoku_pasmo_ensen.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu12.htm,keikyu12.htm,151,2026-08-10 01:30:50.424840+00:00,京急線・京急バス1日フリーパス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu12.htm
keikyu13,東京周遊パス,京浜急行電鉄,['京浜急行電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,[],FALSE,FALSE,on_sale,発売中,,,1110,600,600,"大人：1,110円／小人：600円",１日間,1,発売中,発売当日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keikyu13.gif'],,"['PASMO(記名・無記名)が必要 (モバイルPASMO,ApplePayのPASMO,PASMO定期券,クレジット一体型PASMO,PASMO以外のICカードを除く)']",1,品川,京急ご案内センター TEL：03-5789-8686,,https://www.keikyu.co.jp/visit/otoku/otoku_pasmo_ensen.html,"[{'text': '京浜急行電鉄', 'url': 'https://www.keikyu.co.jp/visit/otoku/otoku_pasmo_ensen.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu13.htm,keikyu13.htm,152,2026-08-10 01:30:50.424840+00:00,東京周遊パス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keikyu13.htm
odakyu11,丹沢・大山フリーパス,小田急電鉄,['小田急電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券' 'デジタル'],TRUE,TRUE,on_sale,発売中,,,790,400,400,"Ａきっぷ 大人：1,750円／小人：880円 
 Ｂきっぷ 大人：790円／小人：400円",２日間,2,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/odakyu11.gif'],,[],0,"小田急線・本厚木〜渋沢間の各駅自動販売機 
 小田急トラベル各営業所 
 EMot",小田急電鉄・小田急お客さまセンター TEL:03-3481-0066,,https://www.odakyu-freepass.jp/tanzawa/,"[{'text': '小田急電鉄', 'url': 'https://www.odakyu-freepass.jp/tanzawa/'}
 {'text': 'ＭａａＳアプリ「ＥＭｏｔ」', 'url': 'https://www.emot.jp/service/detail/tanzawaoyama_freepass.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/odakyu11.htm,odakyu11.htm,153,2026-08-10 01:30:50.424840+00:00,丹沢・大山フリーパス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/odakyu11.htm
keio02,京王線・井の頭線一日乗車券,京王電鉄,['京王電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,1000,500,500,"大人：1,000円／小人：500円",１日,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keio.gif'],,[],0,京王線・井の頭線各駅,京王お客さまセンター TEL:03-3325-6644,,https://www.keio.co.jp/train/ticket/profitable/#section4,"[{'text': '京王電鉄', 'url': 'https://www.keio.co.jp/train/ticket/profitable/#section4'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio02.htm,keio02.htm,154,2026-08-10 01:30:50.424840+00:00,京王線・井の頭線一日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio02.htm
keio01,京王アミューズメントパスポート,京王電鉄,['京王電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,4460,3030,3030,"遊園地 大人 小人 中高生 
 よみうりランド 5,620円 3,920円 4,530円 
 東京サマーランド 5,470円 3,090円 4,470円 
 サンリオ 
 ピューロランド 4,460円 3,030円 3,360円",１日,1,"通年 
 「東京サマーランド」は7月〜9月までの季節販売",通年,"セット券内容 
 
 
 遊園地 内容 
 よみうりランド 
 
 ワンデーパス 
 
※ゴンドラ,プールWAIは別料金
 
 東京サマーランド 
 １Ｄａｙパス 
 西東京バス往復乗車券 
 ※京王八王子駅発着 
 サンリオ 
 ピューロランド 
 パスポート",['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keio.gif'],,[],0,京王線・井の頭線各駅,京王電鉄 TEL:,,https://www.keio.co.jp/train/ticket/profitable/#section1,"[{'text': '京王電鉄', 'url': 'https://www.keio.co.jp/train/ticket/profitable/#section1'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio01.htm,keio01.htm,155,2026-08-10 01:30:50.424840+00:00,京王アミューズメントパスポート,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio01.htm
keio03,いのかしら おでかけきっぷ,京王電鉄,['京王電鉄'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,580,290,290,大人：580円／小人：290円,１日,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keio03.gif'],,[],0,"井の頭線全線 
 京王線新宿〜明大前間の各駅自動券売機",京王お客さまセンター TEL:03-3325-6644,,https://www.keio.co.jp/train/ticket/profitable/index.html,"[{'text': '京王電鉄', 'url': 'https://www.keio.co.jp/train/ticket/profitable/index.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio03.htm,keio03.htm,156,2026-08-10 01:30:50.424840+00:00,いのかしら おでかけきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio03.htm
keio103,「京王電鉄×PERSONA30th ANNIVERSARY 京王線・井の頭線一日乗車券,京王電鉄,['京王電鉄'],1,FALSE,kanto,関東,关东,['関東'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,ended,終了,,,1500,,1500,"大人：1,500円",１日,1,2026年2月6日〜2026年9月30日,2026年2月6日〜2026年9月30日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keio.gif'],,[],0,"新宿,桜上水,府中,渋谷,吉祥寺",京王お客さまセンター TEL:042-357-6161,,https://www.keio.co.jp/news/update/news_release/news_release2025/pdf/nr20250109_persona.pdf,"[{'text': '京王電鉄', 'url': 'https://www.keio.co.jp/news/update/news_release/news_release2025/pdf/nr20250109_persona.pdf'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio103.htm,keio103.htm,157,2026-08-10 01:30:50.424840+00:00,「京王電鉄×PERSONA30th ANNIVERSARY 京王線・井の頭線一日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio103.htm
keio105,『銀魂』春のぶらり旅〜どうせ暇だろ、コノヤロー。〜×京王電鉄 京王線・井の頭線一日乗車券,京王電鉄,['京王電鉄'],1,FALSE,kanto,関東,关东,['関東'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,ended,終了,,,1500,,1500,"大人：1,500円",１日,1,2026年2月28日〜2026年8月31日,2026年2月28日〜2026年8月31日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keio.gif'],,[],0,"新宿,調布,高幡不動,高尾,渋谷",京王お客さまセンター TEL:03-3325-6644,,https://www.keio.co.jp/news/update/news_release/news_release2025/pdf/nr20260206_gintama.pdf,"[{'text': '京王電鉄', 'url': 'https://www.keio.co.jp/news/update/news_release/news_release2025/pdf/nr20260206_gintama.pdf'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio105.htm,keio105.htm,158,2026-08-10 01:30:50.424840+00:00,『銀魂』春のぶらり旅〜どうせ暇だろ、コノヤロー。〜×京王電鉄 京王線・井の頭線一日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio105.htm
keio107,銀河特急 ミルキー☆サブウェイ×京王電鉄 京王線・井の頭線一日乗車券,京王電鉄,['京王電鉄'],1,FALSE,kanto,関東,关东,['関東'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,ended,終了,,,1500,,1500,"大人：1,500円",１日,1,2026年5月1日〜2026年8月31日,2026年5月1日〜2026年8月31日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/keio.gif'],,[],0,"新宿,桜上水,府中,渋谷,吉祥寺",京王お客さまセンター TEL:03-3325-6644,,https://www.keio.co.jp/news/update/news_release/news_release2026/pdf/nr20260413_milkygalacticuniverse.pdf,"[{'text': '京王電鉄', 'url': 'https://www.keio.co.jp/news/update/news_release/news_release2026/pdf/nr20260413_milkygalacticuniverse.pdf'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio107.htm,keio107.htm,159,2026-08-10 01:30:50.424840+00:00,銀河特急 ミルキー☆サブウェイ×京王電鉄 京王線・井の頭線一日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/keio107.htm
yurikamome03,ゆりかもめ24時間券,ゆりかもめ,['ゆりかもめ'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,[],FALSE,FALSE,on_sale,発売中,,,900,450,450,大人：900円 小人：450円,購入した時間から24時間,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/yurikamome.gif'],,['PASMO専用'],1,各駅の自動券売機,ゆりかもめ 営業課 03-3529-7782,,https://www.yurikamome.co.jp/ticket/coupon.html?type=24hour,"[{'text': 'ゆりかもめ', 'url': 'https://www.yurikamome.co.jp/ticket/coupon.html?type=24hour'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome03.htm,yurikamome03.htm,160,2026-08-10 01:30:50.424840+00:00,ゆりかもめ24時間券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome03.htm
yurikamome11,【ゆりかもめEnjoy Pass】ゆりかもめ一日乗車券,ゆりかもめ,['ゆりかもめ'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,820,200,200,"大人：820円 小人：410円 
 2026/7/22〜11/30 小人：200円",１日,1,発売中,購入日より90日以内,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/yurikamome.gif'],,[],0,ゆりかもめEnjoy Pass ジョルダンモバイルチケット,ゆりかもめ 営業課 03-3529-7782,,https://ars-yurikamome.triplabo.jp/activity/ja/LINKTIVITY-XUW91,"[{'text': 'ゆりかもめ', 'url': 'https://ars-yurikamome.triplabo.jp/activity/ja/LINKTIVITY-XUW91'}
 {'text': 'ジョルダンモバイルチケット', 'url': 'https://ticket.jorudan.co.jp/yurikamome/ja/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome11.htm,yurikamome11.htm,161,2026-08-10 01:30:50.424840+00:00,【ゆりかもめEnjoy Pass】 ゆりかもめ一日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome11.htm
yurikamome12,【ゆりかもめEnjoy Pass】ゆりかもめ24時間券,ゆりかもめ,['ゆりかもめ'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,820,410,410,大人：820円 小人：410円,１日,1,発売中,購入日より90日以内で、利用開始後24時間,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/yurikamome.gif'],,[],0,ゆりかもめEnjoy Pass ジョルダンモバイルチケット,ゆりかもめ 営業課 03-3529-7782,,https://www.yurikamome.co.jp/ticket/digital-ticket.html,"[{'text': 'ゆりかもめ', 'url': 'https://www.yurikamome.co.jp/ticket/digital-ticket.html'}
 {'text': 'ジョルダンモバイルチケット', 'url': 'https://ticket.jorudan.co.jp/yurikamome/ja/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome12.htm,yurikamome12.htm,162,2026-08-10 01:30:50.424840+00:00,【ゆりかもめEnjoy Pass】 ゆりかもめ24時間券,－,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome12.htm
yurikamome13,【ゆりかもめEnjoy Pass】ゆりかもめ一日乗車券＋Tokyo Subway Ticket（24時間券）,ゆりかもめ,['ゆりかもめ'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,1620,810,810,"大人：1,620円 小人：810円",1日間,1,発売中,"ゆりかもめ一日乗車券：購入日より90日以内 
 
Tokyo Subway Ticket：購入日から12ヶ月以内",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/yurikamome13.gif'],,[],0,ゆりかもめEnjoy Pass,ゆりかもめ 営業課 03-3529-7782,,https://ars-yurikamome.triplabo.jp/home,"[{'text': 'ゆりかもめ', 'url': 'https://ars-yurikamome.triplabo.jp/home'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome13.htm,yurikamome13.htm,163,2026-08-10 01:30:50.424840+00:00,【ゆりかもめEnjoy Pass】 ゆりかもめ一日乗車券＋Tokyo Subway Ticket（24時間券）,---,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome13.htm
yurikamome95,コミックマーケット版【ゆりかもめEnjoy Pass】ゆりかもめ一日乗車券,ゆりかもめ,['ゆりかもめ'],1,FALSE,kanto,関東,关东,['関東'],kikan,期間限定タイプ,期间限定,['デジタル'],FALSE,TRUE,ended,終了,,,820,410,410,大人：820円 小人：410円,１日,1,2025年8月7日〜,購入日より90日以内,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/yurikamome.gif'],,[],0,ゆりかもめEnjoy Pass,ゆりかもめ 営業課 03-3529-7782,,https://www.yurikamome.co.jp/company/news/20250807_3624.html,"[{'text': 'ゆりかもめ', 'url': 'https://www.yurikamome.co.jp/company/news/20250807_3624.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome95.htm,yurikamome95.htm,164,2026-08-10 01:30:50.424840+00:00,コミックマーケット版 【ゆりかもめEnjoy Pass】 ゆりかもめ一日乗車券,不明,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/yurikamome95.htm
rinkai01,りんかい線１日乗車券,東京臨海高速鉄道,['東京臨海高速鉄道'],1,FALSE,kanto,関東,关东,['関東'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,730,370,370,大人：730円／小人：370円,１日,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/rinkai.gif'],,[],0,りんかい線各駅(大崎駅を除く),東京臨海高速鉄道本社営業課 TEL:03-3527-7134,,https://www.twr.co.jp/route/tabid/126/Default.aspx,"[{'text': '東京臨海高速鉄道', 'url': 'https://www.twr.co.jp/route/tabid/126/Default.aspx'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/rinkai01.htm,rinkai01.htm,165,2026-08-10 01:30:50.424840+00:00,りんかい線１日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/rinkai01.htm
rinkai91,コミックマーケット108 記念1日乗車券,東京臨海高速鉄道,['東京臨海高速鉄道'],1,FALSE,kanto,関東,关东,['関東'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,period,2026/7/31  〜12/31,2026/7/31,2026/12/31,730,,730,大人：730円,１日,1,"108：2026年7月31日〜2026年12月31日 
 107：2025年12月17日〜2026年3月31日","108：2026年7月31日〜2026年12月31日 
 107：2025年12月17日〜2026年3月31日",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/rinkai.gif'],,[],0,"りんかい線各駅の有人改札口 
 りんかい線オフィシャルストア",東京臨海高速鉄道本社営業課 TEL:03-3527-7134,,https://www.twr.co.jp/tabid/101/Default.aspx?itemid=1119&dispmid=860,"[{'text': '東京臨海高速鉄道', 'url': 'https://www.twr.co.jp/tabid/101/Default.aspx?itemid=1119&dispmid=860'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/rinkai91.htm,rinkai91.htm,166,2026-08-10 01:30:50.424840+00:00,コミックマーケット108 記念１日乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/rinkai91.htm
